postal_code,patient_count,year,source_flag
A0A3N8,0,2021,synthetic
A0A3P4,3,2021,synthetic
A0A4N3,3,2021,synthetic
A0A5S5,3,2021,synthetic
A0A7A4,0,2021,synthetic
A0A7E2,5,2021,synthetic
A0A8R1,6,2021,synthetic
A0A9N8,8,2021,synthetic
A0A9R3,3,2021,synthetic
A0B3V5,6,2021,synthetic
A0B4P3,5,2021,synthetic
A0B5M0,1,2021,synthetic
A0B5N9,2,2021,synthetic
A0B8R7,2,2021,synthetic
A0B9V0,0,2021,synthetic
A0C0H8,1,2021,synthetic
A0C0K8,7,2021,synthetic
A0C1P7,3,2021,synthetic
A0C6P7,10,2021,synthetic
A0C7E3,0,2021,synthetic
A0C9H4,0,2021,synthetic
A0C9V2,0,2021,synthetic
A0E0N2,0,2021,synthetic
A0E1K3,0,2021,synthetic
A0E2Y7,4,2021,synthetic
A0E3C0,2,2021,synthetic
A0E4C6,1,2021,synthetic
A0E4E5,5,2021,synthetic
A0E4N9,7,2021,synthetic
A0E4T0,3,2021,synthetic
A0E5X2,7,2021,synthetic
A0E7H3,7,2021,synthetic
A0E8T4,2,2021,synthetic
A0E9L4,6,2021,synthetic
A0G3B0,5,2021,synthetic
A0G5C0,1,2021,synthetic
A0G8A2,7,2021,synthetic
A0G8C3,3,2021,synthetic
A0G9H4,8,2021,synthetic
A0H0X2,18,2021,synthetic
A0H1M0,7,2021,synthetic
A0H3M0,14,2021,synthetic
A0H3S3,6,2021,synthetic
A0H5X7,10,2021,synthetic
A0H6C2,6,2021,synthetic
A0H7C2,10,2021,synthetic
A0H7V6,0,2021,synthetic
A0H8B7,11,2021,synthetic
A0H8C9,7,2021,synthetic
A0H8R5,14,2021,synthetic
A0H8T5,5,2021,synthetic
A0J0S3,7,2021,synthetic
A0J1H4,2,2021,synthetic
A0J1K9,4,2021,synthetic
A0J3M3,6,2021,synthetic
A0J3R2,9,2021,synthetic
A0J3V4,4,2021,synthetic
A0J5E4,15,2021,synthetic
A0J8A4,4,2021,synthetic
A0J9E9,3,2021,synthetic
A0J9M0,12,2021,synthetic
A0K2P9,9,2021,synthetic
A0K4K0,3,2021,synthetic
A0K7B0,3,2021,synthetic
A0L0L8,4,2021,synthetic
A0L3R0,9,2021,synthetic
A0L4P3,1,2021,synthetic
A0L6L4,7,2021,synthetic
A0L7X0,13,2021,synthetic
A0L9Y8,5,2021,synthetic
A0M1S8,13,2021,synthetic
A0M2B9,16,2021,synthetic
A0M2K7,6,2021,synthetic
